Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
0,0,117.7405472,100.1977387,119.8355086,100.2127632,,1,0
1,0.001,136.3623473,101.0185314,131.3894932,100.668783,,0,1
2,0.002,125.1102034,100.4098272,129.3146315,100.5057663,,1,0
3,0.003,118.3628235,99.81377441,115.5966809,99.78272816,,0,1
4,0.004,124.8513606,100.2136056,128.0284934,100.3672314,,1,0
5,0.005,124.2762793,100.4876878,120.2021382,100.2158965,,0,1
6,0.006,121.6334677,100.2666987,122.6547618,100.5342691,,1,0
7,0.007,132.320291,100.4631968,129.725203,100.2757698,,0,1
8,0.008,124.3606602,100.3630467,125.2255961,100.2357005,,0,1
9,0.009,133.6778949,100.5294079,133.2030684,100.5339073,,1,0
10,0.01,115.7794151,99.84604249,118.8023321,99.93446896,,1,0
11,0.011,114.6019723,99.62600033,117.9180867,99.71726621,,1,0
12,0.012,126.5625771,100.202127,125.2804616,100.2590712,,1,0
13,0.013,121.7607769,100.261216,120.3381321,100.1930705,,0,1
14,0.014,118.6891978,99.82207408,123.3943849,100.0066502,,1,0
15,0.015,122.4431898,100.5920455,122.1558757,100.6374722,,1,0
16,0.016,106.287013,99.8524571,117.2764606,100.1952503,,1,0
17,0.017,122.9139637,99.89736015,124.110458,100.1422283,,1,0
18,0.018,134.0750654,100.6686383,130.5334557,100.5633461,,0,1
19,0.019,122.2605138,99.91201172,120.0863884,99.90455174,,0,1
20,0.02,119.0444156,100.0456589,120.2228741,100.2630692,,1,0
21,0.021,100.9530569,99.14296833,101.9186705,99.17230567,,1,0
22,0.022,123.114512,100.1858964,121.2580615,100.2713285,,1,0
23,0.023,118.3069356,99.79927573,116.7647734,100.2567879,,1,0
24,0.024,115.0732059,99.68777743,110.8610607,99.69674281,,1,0
25,0.025,118.4624762,99.98896981,116.4078888,99.71962123,,0,1
26,0.026,115.2565259,99.63659602,117.9876034,99.65931005,,1,0
27,0.027,127.1818222,99.93801454,126.7552934,99.85526096,,0,1
28,0.028,123.6123189,100.2416036,121.9032566,100.279743,,1,0
29,0.029,116.8284471,100.1421206,118.7296194,100.1650377,,1,0
30,0.03,123.6802646,100.2925261,120.9249509,100.0225927,,0,1
31,0.031,123.2937171,99.89304119,115.3799611,99.87177661,,0,1
32,0.032,128.8039644,100.4120157,130.773976,100.3426536,,0,1
33,0.033,122.5551856,100.3667505,128.9295516,100.52742,,1,0
34,0.034,103.6423624,99.34198495,102.414396,99.3220182,,0,1
35,0.035,113.6143209,99.83989309,123.1234248,100.2249467,,1,0
36,0.036,113.8940132,100.1124432,115.2598866,100.1666917,,1,0
37,0.037,123.2327223,100.3621669,126.7064739,100.4650669,,1,0
38,0.038,125.6309177,100.1689819,122.1985514,99.93600334,,0,1
39,0.039,129.8721696,100.4739378,129.0952418,100.4514352,,0,1
40,0.04,116.6609798,99.96593903,113.975239,100.1417034,,1,0
41,0.041,110.3861073,99.35929343,116.0853354,99.43207948,,1,0
42,0.042,106.2382258,99.7634615,108.9919746,99.86258814,,1,0
43,0.043,121.6651405,100.1935195,125.0968757,100.5427331,,1,0
44,0.044,110.8119727,99.39346879,108.0437635,99.17372129,,0,1
45,0.045,127.2511412,100.681735,125.1080411,100.6205509,,0,1
46,0.046,111.0986523,100.277785,113.1057715,100.180834,,0,1
