Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%)
0,0.0,97.52252065207354,98.85761166380821,132.93366189144126,100.06960961194649
1,0.01,104.90165763201307,100.20887912812677,127.49780149589249,99.60978551564209
2,0.02,100.59022323467075,99.39006556237658,115.1591581340681,99.86454953351966
3,0.03,102.60961689629067,100.36089972160813,112.64250378929243,99.6565388677147
4,0.04,101.63183980002717,99.67839375230147,120.4782125503188,99.71128551414158
5,0.05,101.66541584132835,99.04636862515684,121.73075496327587,100.0455804309517
6,0.06,102.34976130771594,100.72534029153421,137.83691211157935,100.64067508187269
7,0.07,106.40327237850991,102.40741904640495,124.32974752703463,100.32286201747225
8,0.08,104.67134902582671,100.59640368625355,124.84462809016037,100.47688200849774
9,0.09,100.19767993054676,98.40682190432594,127.18209500540338,100.22902889372925
10,0.1,101.68957517641637,99.43289068827951,111.35771189966093,99.65057080459414
11,0.11,101.51671751659657,100.29099483971014,121.13794944124724,100.03818945018735
12,0.12,101.22590019264157,99.45866795530664,115.89398965620204,100.49422629679646
13,0.13,103.44172772834361,100.65192646535417,120.44927415064357,100.09628239953483
14,0.14,98.80161636158121,98.88337239814004,112.13555689706791,99.65929933485113
15,0.15,105.6924549311177,101.37097193313977,123.96889198847416,100.410533025475
16,0.16,101.40448155498407,99.85156858901323,113.91477654228572,100.18463473782775
17,0.17,102.88806450267765,100.74482566284884,120.63308704059106,100.04410853756507
18,0.18,105.43942915965397,102.0482673666456,124.41418635349592,100.06206067121649
19,0.19,100.35335418584852,98.80736408276306,114.10762982506955,99.64907661127008
20,0.2,101.14395175640676,99.14594971046601,124.1081799228892,100.25520122682914
21,0.21,102.28696516527116,99.41274571553855,122.83159038895049,99.8973344929578
22,0.22,105.47575899802895,102.07237494316081,113.22879126544107,100.01602859380787
23,0.23,103.40605471798112,100.15781175682477,123.2373275244685,100.02190507516096
24,0.24,104.47928710641865,100.68063589425698,125.49620575263451,100.20108353264541
25,0.25,103.35219341147963,100.50438139841071,120.80212798424131,100.00167168601894
26,0.26,101.47551815865799,100.30789532750923,130.27201188021235,100.04767427629358
27,0.27,103.8823945120847,101.28654636818739,127.03670447497919,99.98600205989374
28,0.28,102.77100319966704,99.2243505901673,135.88119430070944,100.80068319218607
29,0.29,107.24005063975792,102.06790569700286,128.09310222842362,100.50840900099809
