Method,Iteration,Shape Error (%),Motion Error (%)
Basis Constraints,1,100.42861902881792,490.4627699329236
Basis Constraints,2,106.08587643967853,441.68383521696273
Basis Constraints,3,102.01265342531458,496.9849074588696
Basis Constraints,4,97.50292692528758,418.9194870468583
Basis Constraints,5,100.80724715567666,446.6537352726048
Basis Constraints,6,103.80331104447184,436.94955727930625
Basis Constraints,7,101.09267414964293,424.3699315747714
Basis Constraints,8,101.93578984280838,414.7647747066818
Basis Constraints,9,99.73343316609477,486.0469013481842
Basis Constraints,10,103.64185147271345,506.9036855747944
Basis Constraints,11,105.54348862463281,481.0536076302635
Basis Constraints,12,95.93599200526403,390.2571775311648
Basis Constraints,13,103.09746376893456,457.34795931578407
Basis Constraints,14,98.9703194806404,527.593467584018
Basis Constraints,15,103.21717975597193,400.2539419672974
Basis Constraints,16,104.86222390578124,502.7945716940004
Basis Constraints,17,99.91531668958919,473.1597525266903
Basis Constraints,18,105.84580632016983,420.98370007681274
Basis Constraints,19,103.1763639746339,423.9244734873573
Basis Constraints,20,97.17327566285192,397.38234629655216
Basis Constraints,21,102.05024461266777,469.92094487138127
Basis Constraints,22,104.23658888672985,454.70801691517966
Basis Constraints,23,103.35647160787754,515.4430905219951
Basis Constraints,24,102.0167267394524,451.6346848729945
Basis Constraints,25,108.0303556853291,480.8096216093612
Basis Constraints,26,102.69911596443244,470.6354209598555
Basis Constraints,27,99.21279765147791,421.61516895429287
Basis Constraints,28,104.63941623344238,516.4561394554321
Basis Constraints,29,101.56119741433922,457.77161421844113
Basis Constraints,30,105.35302931835477,451.36643200476686
Basis Constraints,31,103.40262907002058,433.22488693107334
Basis Constraints,32,100.282234042479,486.977071995077
Basis Constraints,33,106.7276495498846,538.0089071137764
Basis Constraints,34,102.06179457816012,516.6513413380344
Basis Constraints,35,102.97299727692662,430.76321996844484
Basis Constraints,36,103.15376691472824,462.78074269903516
Basis Constraints,37,98.1964053082099,458.94880670924545
Basis Constraints,38,103.42485445138243,450.6731881759656
Basis Constraints,39,100.86228912296687,443.04249673285494
Basis Constraints,40,101.58775462980599,451.34453634833613
Basis Constraints,41,100.85676301028188,412.6496208508813
Basis Constraints,42,97.58679412525211,377.2159142973778
Basis Constraints,43,103.18464191180543,480.6045148478071
Basis Constraints,44,103.57219447541684,458.9370060395173
Basis Constraints,45,104.37799245552841,467.6862689365472
Basis Constraints,46,101.29865373749315,456.2754652466752
Basis Constraints,47,101.48866349133725,427.9378675730522
Basis Constraints,48,105.33813138450006,445.60007072514554
Basis Constraints,49,98.30726496062722,444.4768448653289
Basis Constraints,50,101.47261540074177,422.96070617494735
Basis Constraints,51,98.73633553739097,413.9665166600267
Basis Constraints,52,101.27453834297539,493.9929445627409
Basis Constraints,53,102.03841435775323,488.360850606363
Basis Constraints,54,101.98304394666393,434.7389978954129
Basis Constraints,55,100.11131572368426,502.8183442583331
Basis Constraints,56,104.56641567736429,499.41521285971584
Basis Constraints,57,99.77517050199268,452.77951848309783
Basis Constraints,58,97.52291432925271,455.59664202696473
Basis Constraints,59,97.99236017258802,449.6454155925406
Basis Constraints,60,105.71563254056315,473.29250917129417
Basis Constraints,61,101.11571988967651,478.8625734640225
Basis Constraints,62,98.9309187671663,449.4592402208978
Basis Constraints,63,104.34592894523693,366.27721972985273
Basis Constraints,64,104.55738311402666,530.0628639436562
Basis Constraints,65,104.33625577077889,419.0772544151691
Basis Constraints,66,106.18931732243367,456.9853640199357
Basis Constraints,67,95.15039170984168,488.32610379107723
Basis Constraints,68,105.3043551103193,559.5597748451193
Basis Constraints,69,99.92335549609392,389.16373356921196
Basis Constraints,70,103.10716828105242,481.4803655961808
Basis Constraints,71,97.95025430173172,432.6553970778373
Basis Constraints,72,98.25949058008851,428.23067066749525
Basis Constraints,73,101.81342918902045,466.51150213191113
Basis Constraints,74,99.52914116851588,430.00707340634096
Basis Constraints,75,104.59793018439632,438.43295116880137
Basis Constraints,76,103.0428931719613,493.8501909890808
Basis Constraints,77,104.46649607770226,514.7414322667855
Basis Constraints,78,101.9796098512431,429.64835307229504
Basis Constraints,79,101.05721668746467,448.07042301640996
Basis Constraints,80,101.83384946848557,429.0446348267606
Basis Constraints,81,100.87154982998135,439.99954634006
Basis Constraints,82,103.15646905975724,406.9468840404268
Basis Constraints,83,102.40004435886594,466.2490509473572
Basis Constraints,84,105.60316146872337,462.6579041590541
Basis Constraints,85,105.62513002974005,485.9767097257225
Basis Constraints,86,102.57211872033587,457.9797694419772
Basis Constraints,87,104.6408857023278,472.5530839961222
Basis Constraints,88,99.54708935020221,468.75312625644375
Basis Constraints,89,101.69741462595556,461.3962997243404
Basis Constraints,90,102.58784085434196,430.91668111658635
Basis Constraints,91,101.3230326985381,474.9140130465502
Basis Constraints,92,105.17253308132229,471.01409388198164
Basis Constraints,93,105.80686486018026,464.3102298651087
Basis Constraints,94,103.98025017008304,489.27916250781516
Basis Constraints,95,101.31830297894176,529.321465345318
Basis Constraints,96,103.06718713519618,441.9156124418789
Basis Constraints,97,99.59826099321253,418.8974262658781
Basis Constraints,98,106.27489693369894,468.3555813001343
Basis Constraints,99,100.51918073017907,427.76281521481206
Basis Constraints,100,100.40462950719777,389.94340891294155
Rotation Constraints,1,10257.707545590185,45045.258246401565
Rotation Constraints,2,10169.278011579345,39827.28622447496
Rotation Constraints,3,10251.555273752712,48480.38545467208
Rotation Constraints,4,10056.873868781146,49773.36660686057
Rotation Constraints,5,10225.94224259554,43268.72972725522
Rotation Constraints,6,10063.31425110624,43818.031190595335
