Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%)
0,0.0,119.36514821263361,99.83861210126295,121.33157918763382,100.16233588579826
1,0.01,107.83586828919718,99.53942282871444,110.0289701400345,99.51136042039148
2,0.02,122.49633442139655,100.08960236617024,118.2440993048392,100.00559877366757
3,0.03,116.78667744732898,100.04589766280696,120.66072523123043,100.31176163801665
4,0.04,115.16750165085166,99.81840685437624,115.23774898202386,99.73160331483751
5,0.05,119.06448893004121,100.10773072287691,121.5474154494078,99.94459087805336
6,0.06,125.87690722303006,100.04441010075813,127.80305804070696,100.08154072089141
7,0.07,122.22965924594908,99.93857719101936,118.97668332502099,99.77878006500218
8,0.08,124.52844241186662,99.97111088399198,126.71877403332037,99.95486633241806
9,0.09,127.89348858578886,100.40888861851973,129.73907023038777,100.58174392755967
10,0.1,119.68365833968284,99.85601893935436,115.43430785173929,99.47572436573034
11,0.11,120.15937739671536,99.90165491272165,119.41679016198043,99.89417890928522
12,0.12,122.38715590969336,100.02734175929267,117.01289099153263,99.89811429443255
13,0.13,114.82818389060702,100.06336679387582,117.46875723509464,100.13044779314275
14,0.14,114.58301311458794,99.9956834266303,116.8979263627809,100.0861615121291
15,0.15,126.41379931078663,100.47626786377626,121.81383336015026,100.19071318069346
16,0.16,115.29822840393172,99.90622051786885,117.38805602736181,99.9997856662852
17,0.17,111.26673701832293,99.74352160008112,112.68912780620634,99.78692586353831
18,0.18,108.11993926709485,99.48994664945945,106.02603853229067,99.46858689042557
19,0.19,122.24462544438587,99.9237550447246,120.47113670363265,100.03779132922031
20,0.2,113.48477179888805,99.8365053312776,115.46692453624613,99.90747576910314
21,0.21,115.21130939871156,99.91028102719135,122.2269859295902,100.1686094383005
22,0.22,119.22127810463267,99.84048645445931,116.15790123469245,99.70708701813481
23,0.23,121.56646778618318,99.99808321802041,122.17690740646215,99.97081838224214
24,0.24,125.1185839605174,100.34330314058452,122.52919489080017,100.38923663424055
25,0.25,118.05107935840876,99.68978502228192,112.87393010737281,99.5706766181353
26,0.26,116.11722157587879,99.97637640354735,112.65328922772294,99.95816330603344
27,0.27,115.06632609684281,99.79856757703372,117.61175245975323,100.26830712173995
28,0.28,118.14903725848905,99.70048841142314,108.51861765950915,99.2768993134837
29,0.29,123.43860138025458,100.05600054487019,119.1016649190212,99.98276695470327
30,0.3,119.916191097309,100.5048312510935,125.90149337699745,100.5585651409493
31,0.31,121.62423261498041,99.91694207145213,122.47901210747618,99.99513562685135
32,0.32,137.27660373078018,100.70289075998909,138.1196602868188,100.73751921474827
33,0.33,113.37546022437346,99.74926602961392,119.54698278907487,99.82252268370698
34,0.34,117.92358220521916,100.05155670417516,123.25672645749113,100.23097754452593
35,0.35000000000000003,127.01021538409256,100.31069122677411,129.4378131435849,100.36731645093428
